1-UP	1-up
100 퍼센트	one hundred percent
100 프로	one hundred percent
100baseT	100baseT
10base2	10base2
10baseT	10baseT
10대	teenager
1루	first base
1층	first floor
20년대	twenties
20대	twentysomething
2M1207	2M1207
2루	second base
2인자	second person
2인칭 단수	second person singular
2인칭 단수	second-person singular
2인칭 복수	second person plural
2인칭 복수	second-person plural
2층 버스	double decker
2층 버스	double-decker
2층	first floor
30년대	thirties
30대	thirties
3DDX	3DDX
3DES	3DES
3루	third base
3부작	trilogy
4강	semifinalist
50년대	fifties
5S	5S
60년대	sixties
6월	June
70년대	seventies
7TP	7TP
7月	July
7월	July
80년대	eighties
8강	quarterfinalist
90년대	nineties
A	A
AA	AA
AAAA	AAAA
AAL	AAL
ABC	ABC
ABC	American Broadcasting Company
ABC	Australian Broadcasting Corporation
ABR	ABR
ACE	ACE
ACID	ACID
ACK	ACK
ACL	ACL
ACPI	ACPI
ACPI	Advanced Configuration and Power Interface
ACRS	ACRS
ACT	ACT
ACTPU	ACTPU
AD	AD
ADC	ADC
ADF	ADF
ADFS	Active Directory Federation Services
ADO	ADO
ADO	ActiveX Data Objects
ADOM	Ancient Domains of Mystery
ADSI	ADSI
ADSI	Active Directory Service Interfaces
ADSL	ADSL
ADSL	Asymmetric Digital Subscriber Line
AE	AE
AEM	AEM
AES	AES
AES	Advanced Encryption Standard
AFI	AFI
AFTP	AFTP
AFTP	Advanced Program-to-Program Communication File Transfer Protocol
AGP	AGP
AGP	Accelerated Graphics Port
AGROVOC	AGROVOC
AGTH	AGTH
AH	AH
AHAH	AHAH
AHDL	AHDL
AHP	Analytic Hierarchy Process
AI	Ai
AIFF	Audio Interchange File Format
AIGLX	AIGLX
AKB48	AKB48
ALE	ALE
AM	AM
AM	a
AMD	Advanced Micro Devices
AMO	AMO
AMO	Analysis Management Objects
AND	AND
ANG	NAf
ANSI	American National Standards Institute
AO	AO
AOD	AOD
AOD	Advanced Optical Disc
AODV	Ad-hoc On-demand Distance Vector
AOL	AOL
API	API
APIC	APIC
APIC	advanced programmable interrupt controller
APIPA	APIPA
APM	APM
APNG	Animated Portable Network Graphics
APPC	APPC
APPC	Advanced Program-to-Program Communication
APPN	APPN
APPN	IBM Advanced Peer-to-Peer Networking
ARINC	ARINC
ARJ	ARJ
ARP	ARP
ASBR	ASBR
ASCII	ASCII
ASCII	American Standard Code for Information Interchange
ASF	ASF
ASF	Advanced Systems Format
ASM	ASM
ASMP	ASMP
ASP	ASP
ASPM	ASPM
ASR	ASR
ASROC	ASROC
ATL	ATL
ATM	ATM
ATM	asynchronous transfer mode
ATSC	ATSC Standards
ATV	All-terrain vehicle
ATV	quad
AUO	AUO
AUO	Active User Object
AUP	AUP
AV	AV
AVDP	AVDP
AVDP	Anchor Volume Descriptor Pointer
AVI	AVI
AVI	Audio Video Interleaved
AWK	AWK
AZ	AZ
Abuleiusu	apuleius
ActiveSync	ActiveSync
ActiveX	ActiveX
Adamsync	Adamsync
Aero	Aero
Aero	Authentic
AgMES	AgMES
Aiambulikusu	Iamblichus
Aichi	Haiti
Ajax	Ajax
Ajeuman	Ajman
Alje	Algiers
Americana	Americana
Andora	Andorra
Angkara	Ankara
Anteubereupeon	Antwerpen
Anteuwopeu	Antwerpen
Apeurika	Africa
AppVerifier	AppVerifier
AppleTalk	AppleTalk
ArXiv	ArXiv
Arhentina	Argentina
Aseumara	Asmera
Aswirangsûtturiksû	Cacofonix
Aswirangsûturiksû	Cacofonix
Atom	Atom
Audacity	Audacity
AutoHotKey	AutoHotkey
AutoMovie	AutoMovie
Autoconf	Autoconf
B	B
B2B	B2B
BAM	BAM
BAM	Business Activity Monitoring
BAML	BAML
BAML	Binary Application Markup Language
BAP	BAP
BAR	BAR
BAR	base address register
BAS	BAS
BBBOnLine	BBBOnLine
BBC	BBC
BBS	BBS
BBS	Bulletin Board System
BC	BC
BCD	BCD
BCE	BC
BCE	Before Common Era
BFE	BFE
BIF	FBu
BIND	BIND
BIND	Berkeley Internet Name Domain
BINLSVC	BINLSVC
BINLSVC	Boot Information Negotiation Layer Service
BIOS	BIOS
BIOS	basic input/output system
BLOB	BLOB
BLOB	BLOb
BLOB	binary large object
BLOB	blob
BMR	BMR
BMR	bare metal recovery
BMW	BMW
BOINC	Berkeley Open Infrastructure for Network Computing
BOOTP	BOOTP
BPL	BPL
BPP	BPP
BQP	BQP
BSD	BSD
BSD	Berkeley Software Distribution
BSOD	BSOD
BVE	BVE Trainsim
BVT	BVT
BWP	P
BWV	BWV
Babeidoseu	Barbados
Baegseolgongchu	Snow White
Bamako	Bamako
Banuatu	Vanuatu
BeOS	BeOS
Belgie	Belgium
Bellaruseu	Belarus
Benesuella	Venezuela
Beogeuradeu	Belgrade
Bereullin	Berlin
Besutosu	Phaistos
Beurachiseullaba	Bratislava
Beurocheuwapeu	Wrocław
Bianchian	Vientiane
Bin	Vienna
BitLocker	BitLocker
Bitblt	bitblt
Blackout	Blackout
Blootwoosch	Weißwurst
Bollonya	Bologna
Breakaway	Breakaway
Brfxxccxxmnpcccclllmmnprxvclmnckssqlbb11116	Brfxxccxxmnpcccclllmmnprxvclmnckssqlbb11116
Bs	b
Bujumbura	Bujumbura
Buono	Buono
Bureukinapaso	Burkina Faso
Burundi	Burundi
B급 영화	B-movie
C	C
C	C language
C	c
C	deg. C
C-pop	C-pop
CA	CA
CAB	CAB
CAL	CAL
CAP	CAP
CAPI	CAPI
CAPTCHA	CAPTCHA
CATIA	CATIA
CBCP	CBCP
CBCP	Callback Control Protocol
CBR	CBR
CBS	CBS
CBT	CBT
CCB	CCB
CCD	CCD
CCD	charge-coupled device
CD 플레이어	CD player
CD	CD
CD	carats
CDATA	CDATA
CDDL	Common Development and Distribution License
CDFS	CDFS
CDO	CDO
CDO	Collaboration Data Objects
CE	AD
CE	Anno Domini
CEIP	CEIP
CELP	Code Excited Linear Prediction
CENTR	Council of European National Top Level Domain Registries
CERO	CERO
CERO	Computer Entertainment Rating Organization
CETME	CETME
CFA	XOF
CFPF	CFP
CGI	CGI
CGI	common gateway interface
CHAP	CHAP
CIA	CIA
CIDR	CIDR
CIDR	Classless Interdomain Routing
CIM	CIM
CIM	Common Information Model
CIMOM	CIMOM
CISC	CISC
CJ	CJ Corp
CLR	CLR
CLSID	CLSID
CMAK	CMAK
CMMI	Capability Maturity Model Integration
CMOS	CMOS
CMOS	Complementary Metal Oxide Semiconductor
CMYK	CMYK
CMYK	cyan-magenta-yellow-black
CN	CN
CN	CNY
CNN	CNN
COA	COA
COFF	COFF
COINTELPRO	COINTELPRO
COM	COM
COM	Component Object Model
COPPA	COPPA
CPI	CPI
CPU	CPU
CQBR	CQBR
CRC	CRC
CRL	CRL
CRM	CRM
CSF	Content Selection Framework
CSP	CSP
CSR	CSR
CSS	Cascading Style Sheets
CSV	CSV
CTL	CTL
CTO	CTO
CTS	CTS
CTS	Clear To Send
CTS	common type system
CUDA	CUDA
CVS	Concurrent Versions System
CWA	CWA
CWEB	CWEB
CakePHP	CakePHP
Cal	cal
Can	full
CentOS	CentOS
Chadeu	Chad
Chehi	Bohemia
Chemidex	Chemidex
Chimney	chimney
Choseon	Korean
Chwirihi	Zurich
ClearType	ClearType
Clustal	Clustal
Communicator	Communicator
Computer	Computer
Cot	breast
CryptoAPI	CryptoAPI
Ctrl	CTRL
Cuk	die
C팝	C-pop
D	D
D3D	D3D
DACL	DACL
DACL	discretionary access control list
DAP	Directory Access Protocol
DARPA	DARPA
DARPA	Defense Advanced Research Project Agency
DAS	DAS
DAT	DAT
DBASE	DBase
DBCS	DBCS
DC	DC
DCB	DCB
DCD	DCD
DCE	DCE
DCE	Data Communications Equipment
DCOM	DCOM
DCOM	Distributed COM
DCOM	Distributed Component Object Model
DCR	DCR
DCR	Digital Cable Ready
DDL	DDL
DDL	data definition language
DDL	data description language
DDR	DDR
DDT	DDT
DDos	DDoS
DEFLATE	DEFLATE
DEP	DEP
DEPAPEPE	Depapepe
DES	DES
DES	Data Encryption Standard
DFS	DFS
DFS	Distributed File System
DHC	Daigaku Honyaku Center
DHCP	DHCP
DHCP	Dynamic Host Configuration Protocol
DHL	DHL
DHTML	DHTML
DHTML	Dynamic HTML
DIB	DIB
DIMM	DIMM
DIP	DIP
DJ	deejay
DJAM	DJAM
DKK	kr
DLC	DLC
DLC	Data Link Control
DLL	DLL
DLP	DLP
DMA	DMA
DMA	direct memory access
DML	DML
DMO	DMO
DNA	DNA
DNS	DNS
DNS	Domain Name System
DNS	Domain name system
DOM	DOM
DOSEMU	DOSEMU
DPA	DPA
DPA	distributed password authentication
DPM	DPM
DPMDB	DPMDB
DPMI	DOS Protected Mode Interface
DPS	DPS
DRAM	DRAM
DRAM	dynamic random access memory
DRC	DRC
DRDA	DRDA
DREAD	DREAD
DREAD	Damage potential Reproducibility Exploitability Affected users Discoverability
DRM	DRM
DSCP	DSCP
DSCP	Differentiated Services Code Point
DSL	DSL
DSL	Digital Subscriber Line
DSML	DSML
DSML	Directory Services Markup Language
DSN	DSN
DSS	DSS
DScaler	DScaler
DShK	DShK
DTC	DTC
DTC	design-time control
DTC	distributed transaction coordinator
DTD	DTD
DTE	DTE
DTMF	DTMF
DTMF	dual tone multiple-frequency
DTR	DTR
DTS	DTS
DUN	DUN
DV	DV
DVD 플레이어	DVD player
DVD	DVD
DVD	digital video disk
DVD	ＤＶＤ
DVR	DVR
DWM	DWM
DWORD	DWORD
Daeseoyang	Atlantic Ocean
Dakareu	Dakar
Damaseukuseu	Damascus
Denmakeu	Denmark
Deobeullin	Dublin
Devrek	Devrek
DialKeys	DialKeys
Dialer	dialer
DiffServ	DiffServ
Dimasyukeu	Damascus
Direct3D	Direct3D
DirectDraw	DirectDraw
DirectInput	DirectInput
DirectPlay	DirectPlay
DirectShow	DirectShow
DirectSound	DirectSound
DirectX	DirectX
DivX	DivX
Dive	Dive
DoS	DoS
Doichillanteu	Germany
Dominika	Commonwealth of Dominica
Dominika	Dominica
Dookie	Dookie
DpmBackup	DpmBackup
Drukqs	Drukqs
E	E
E10	E10
EAI	EAI
EAP	EAP
EAP	Extensible Authentication Protocol
EBCDIC	EBCDIC
EC	EC
ECP	ECP
EDE	EDE
EDI	EDI
EDIFACT	EDIFACT
EDIFACT	Electronic Data Interchange for Administration
EEC	EEC
EEPROM	EEPROM
EFI	EFI
EFI	Extensible Firmware Interface
EFS	EFS
EICAS	Engine Indicating and Crew Alerting System
EIF	EIF
EIP	EIP
EIP	Enterprise Integration Platform
EIU	Economist Intelligence Unit
EKU	EKU
EMC	EMC Corporation
EMM386	EMM386
EMS	EMS
EPROM	EPROM
EPS	EPS
EPS	Encapsulated PostScript
EPS	encapsulated PostScript
EQoS	Enterprise Quality of Service
ER	ER
ERN	Nfk
ESPN	ESPN
ESRB	ESRB
ESRB	Entertainment Software Rating Board
ETW	ETW
EUC	Extended Unix Code
EXE	EXE
EXILE	Exile
EXPSPACE	EXPSPACE
EXPTIME	EXPTIME
Echiopia	Ethiopia
EdgeSync	EdgeSync
Ekwadoreu	Ecuador
Eseutonia	Estonia
Everlasting	Everlasting
Everyone	Everyone
F	deg. F
F414	General Electric F404
FAD	FAD
FADEC	FADEC
FAMAS	FAMAS
FAQ	FAQ
FAT	FAT
FAT	File Allocation Table
FAT32	FAT32
FAZZ	ZZ Gundam
FCB	FCB
FCC	FCC
FCC	Federal Communications Commission
FCFA	XAF
FEP	FEP
FIFO	FIFO
FLAC	Free Lossless Audio Codec
FOB	FOB
FPX	Flashpix
FQDN	FQDN
FRS	FRS
FTP	FTP
FTTH	Fiber to the x
FU	Fu
Faint	Faint
FeRAM	Ferroelectric RAM
Flash	Flash
Fps	Fps
FreeBSD	FreeBSD
Freeciv	Freeciv
G	G
G8	G8
GAAP	GAAP
GAC	GAC
GAL	GAL
GAM	GAM
GByte	GByte
GCW	GCW
GDDR3	GDDR3
GDDR4	GDDR4
GDDR5	GDDR5
GDI	GDI
GDI	Graphics Device Interface
GDT	GDT
GDT	global descriptor table
GE	Ge
GEL	GEL
GHDL	GHDL
GHS	GH
GHz	GHz
GID	GID
GIF	GIF
GIF	Graphics Interchange Format
GIMPS	Great Internet Mersenne Prime Search
GL	yuri
GLB	GLB
GMAT	Graduate Management Admission Test
GMD	D
GN	GN
GNU	GNU
GO	Go
GP2X	GP2X
GP32	GP32
GPMC	GPMC
GPO	GPO
GPS	Global Positioning System
GPT	GPT
GRE	GRE
GRE	Generic Route Encapsulation
GRE	Graduate Record Examination
GRUB	GNU GRUB
GSM	GSM
GSP	The Geometer’s Sketchpad
GUI	GUI
GUI	graphical interface
GUI	graphical user interface
GUID	GUID
GUID	Global Universal Identification
GUID	globally unique identifier
GW	GW
Gabong	Gabon
Gambia	Gambia
Gbit	Gbit
Gela	Gela
Geurinnandeu	Greenland
Geuriseu	Greece
Geurujia	Georgia
Gieck	Gieck
Golay	Marcel J. E. Golay
Grace	Grace
Grapefruit	Grapefruit
G스트링	G-string
H2	H2
H5N1	A
H5N1	H5N1
H5N1	Influenza A virus subtype H5N1
HAL	HAL
HBO	HBO
HCL	HCL
HCRP	HCRP
HDCD	HDCD
HDCD	High Definition Compatible Digital
HDCP	HDCP
HDCP	High-bandwidth Digital Content Protection
HDMI	HDMI
HDMI	High-Definition Multimedia Interface
HDMI	high-definition multimedia interface
HDMI	high-density multichip interconnect
HDTV	HDTV
HDTV	High Definition Television
HDV	HDV
HDX4	HDX4
HERO	Hero
HFNETCHK	HFNETCHK
HFS	HFS
HIMEM	HIMEM
HIPAA	HIPAA
HIPAA	Health Insurance Portability and Accountability Act
HIV	HIV
HK	HKD
HPC	HPC
HPFS	HPFS
HRA	HRA
HSBC	HSBC
HSDPA	High-Speed Downlink Packet Access
HSV	HSV
HTML	HTML
HTML	Hypertext Markup Language
HTT	HTT
HTTP	HTTP
HTTP	Hypertext Transfer Protocol
HTTPS	HTTPS
HTTPS	Https
HTTPS	Hypertext Transfer Protocol Secure
HTTPS	Secure Hypertext Transfer Protocol
HWS	HWS
Hanguk	Korean
Hanja	join
Hawai	Hawaii
Hawai	Pearl Harbor
Hejeubolla	Hezbollah
HighMAT	High-Performance Media Access Technology
HighMAT	HighMAT
Holymarsh	Holymarsh
Hondeuraseu	Honduras
Hongkong	Hong Kong
HyperZ	HyperZ
Hypnotize	Hypnotize
Hz	Hz
I2C	I2C
IAI	Israel Aerospace Industries
IANA	Internet Assigned Numbers Authority
IAP	IAP
IAS	IAS
IAS	IKE
IAS	Information Access Service
IBM	IBM
IBS	IBS
ICB	ICB
ICF	ICF
ICMP	ICMP
ICMP	Internet Control Message Protocol
ICRA	ICRA
ICRA	Internet Content Rating Association
ID 카드	ID card
ID	ID
ID	identity
ID3	ID3
IDE	IDE
IDE	integrated device electronics
IDE	integrated drive electronics
IDE	intelligent drive electronics
IE	IE
IEAK	IEAK
IEEE	IEEE
IEEE	Institute of Electrical and Electronics Engineers
IELTS	IELTS
IETF	IETF
IETF	Internet Engineering Task Force
IGMP	IGMP
IGMP	Internet Group Management Protocol
IGoogle	IGoogle
IHV	IHV
IHV	independent hardware vendor
IIS	IIS
IKE	Internet Key Exchange
IM	IM
IMAP	IMAP
IMAP	Internet Message Access Protocol
IMAX	IMAX
IME	IME
